Survived,Is_alone,Family_size_1,Family_size_2,Family_size_3,Family_size_4,Family_size_5,Family_size_6,Family_size_7,Family_size_8,Family_size_11,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Fare_scale,Age_1.0,Age_2.0,Age_3.0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.18876253192945994,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.48977642625839407,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.3363340021468808,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.21191774308354583,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.29002422161773944,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.1506737441786005,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4913710934835715,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.8964967865378598,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.12491978668775715,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5995101505357573,0,0,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.06635974158478332,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.43700743807979686,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5028639729296732,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.08968408411123653,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.2958951755118318,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5028639729296732,0,1,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.962353321387736,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0323213593611125,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.08666388103324908,1,0,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.09027201697708476,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.3414522396297103,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.43700743807979686,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4841568350646187,0,1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.4888542575852486,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.47400492578514347,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.2958951755118318,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.8314778546749452,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.3573908580066095,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.48910360681684706,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.494391296561559,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.06451572512800753,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.397241430886295,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.46720946885967163,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.45714212526638004,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49162277707340374,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.29992211294914856,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.43700743807979686,1,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-0.32928686163157667,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.04370821849987721,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4.647001076532463,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4902797934380587,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5833178351003071,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-0.23415046467497105,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5024451714361923,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0493298231623713,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.6272778976347743,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.18532384824750675,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.12491978668775715,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.4894421904510968,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.907737982394129,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4741720436887921,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.4888542575852486,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.494391296561559,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4918744606632361,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.1621689579829361,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.39858208016340624,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.3573908580066095,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.4505983519307405,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.3573083057891445,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4888542575852486,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.49237782784290063,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.22559322262067316,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4.335332226633905,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.01870931177853076,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.8314778546749452,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.04295550208861426,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.3866707201133388,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.907737982394129,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.42207354059350805,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.49237782784290063,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5046257580584992,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.19824427701513722,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5079822104125026,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5064721088735089,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.35646868933346404,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.12491978668775715,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3454791770670269,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.11921562980779811,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.4207302360686478,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4628462821463391,1,0,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.9462455716384695,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.3414522396297103,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.32928686163157667,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5125125150294839,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.41687275089321363,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.09152810056801232,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.49145565916975514,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.04370821849987721,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.12491978668775715,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.39623469652696586,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.6925485130875209,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.35646868933346404,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5011867534870308,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5874293382238074,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49271407711891657,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.47400492578514347,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.7519458402879414,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.32425318983493084,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.331300330350235,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4918744606632361,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.47400492578514347,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.1506737441786005,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.2351571990343002,1,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.4589861417231558,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,-0.08666388103324908,0,0,1
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.12642988822675086,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.48910360681684706,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.026090367211616904,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.06199888922968463,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.4242561406845337,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4888542575852486,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.030371322596999754,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.4902797934380587,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-0.13565761536436197,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.07030444769415023,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.6484216535389205,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.7519458402879414,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.34539461138084326,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.016444159470040135,1,0,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.13683114673782454,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.20495516825442542,1,0,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3583127057902398,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.3363340021468808,0,1,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.11384570873513637,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.3363340021468808,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.3866707201133388,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.4902797934380587,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.12491978668775715,1,0,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.09027201697708476,0,0,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2.301728820789,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.49237782784290063,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.47920571548543794,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.3866707201133388,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.45714212526638004,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.7519458402879414,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5176307525123133,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5029485386158568,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.43776248884929375,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.32928686163157667,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.2701412180209885,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,1,0,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.024246350754841113,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5064721088735089,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.22559322262067316,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5024451714361923,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.49237782784290063,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.6323350375212924,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.4888542575852486,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.10478509950117394,0,0,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.8876878608937296,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.163700193253568,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4601623283443675,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5024451714361923,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.13565761536436197,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0323213593611125,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4918744606632361,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3766033765200472,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.016444159470040135,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49640476528021726,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.12491978668775715,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.11988611489111134,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.4012683683236117,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.3573908580066095,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.3363340021468808,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5049620073345151,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5029485386158568,0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.163700193253568,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.4918744606632361,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.35646868933346404,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.40974072380221066,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.12491978668775715,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5024451714361923,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.43776248884929375,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.11384570873513637,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.32425318983493084,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.2414492887801075,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.3414522396297103,0,1,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.9462455716384695,0,1,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.093228788100527,0,1,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,9.667166525013505,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.12491978668775715,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.49237782784290063,0,1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.016444159470040135,1,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.955306180872432,0,0,1
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.6484216535389205,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.1506737441786005,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.4918744606632361,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2.441497778832105,0,0,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2.0825124140450755,0,0,1
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.024246350754841113,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.6484216535389205,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.255795253400548,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.05042144409739929,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.921244330558889,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.6484216535389205,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.06199888922968463,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.24069423801061057,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.49237782784290063,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4902797934380587,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.45714212526638004,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.12491978668775715,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.47400492578514347,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.45714212526638004,0,1,0
